Top temperature (K),Top pressure (bar),Reflux flow (m3/h),Flow to the next process (m3/h),6th tray temperature (K),Bottom pressure (bar),Bottom temperature (K),Butane Content in Bottoms
353.78007,32.89382462,418.0434967,591.752041,500.494639,84.6217763,535.5198,0.18029533
353.6965,32.85684236,427.5550631,585.9598196,498.5921227,84.18332822,535.5198,0.17712402
353.593342,33.32316948,413.57282,580.1675982,495.8456536,81.17215474,526.5615375,0.17361771
353.490186,33.74854142,406.1018194,574.3756414,493.0991845,80.3613537,526.5615375,0.17164039
353.387028,32.71237909,383.3547454,568.58342,491.4248834,77.76593248,516.5353975,0.16697247
353.28387,32.04958206,389.5644419,563.9819672,493.8935631,81.51138174,526.5932125,0.16367888
353.180712,33.04659437,389.4659274,560.7267012,496.3625441,85.46278878,535.1987,0.1602487
353.077682,33.94204977,389.2583781,557.4711608,495.0860372,80.94932626,535.5198,0.1582424
352.695326,32.32752917,383.4290098,554.2156302,493.2472999,81.4951255,527.2506,0.1570443
350.541736,33.44856342,387.4823241,550.9600898,491.4085603,81.6900426,527.2506,0.15479179
348.388148,32.97934677,382.1675195,547.7045494,486.7765029,80.47330498,527.2506,0.1547679
346.23443,31.78954788,370.8752,544.4490188,481.7351628,77.91622332,515.5399875,0.15598922
344.080842,32.54075659,341.816534,541.1934784,476.6938227,73.3894181,510.02357,0.15584463
341.927252,31.48039708,277.6149063,537.9379478,476.7763444,72.74393718,505.3229225,0.15703897
340.162762,31.68856819,205.8770492,534.6826818,477.6094136,75.4161904,509.3765975,0.15915777
340.92824,33.63614865,213.7608944,531.4271414,480.3350263,81.11525888,518.565705,0.16383627
341.693718,32.68695348,202.8302929,528.171601,483.3378235,81.57947214,529.4423275,0.16700677
342.459194,32.53093307,209.6335068,524.9160704,486.3406207,79.27895742,522.15118,0.17250859
332.442608,32.75282859,207.6023392,521.66053,487.9741152,79.63704648,522.88407,0.17834621
346.59351,32.85272489,216.3765634,518.4049896,487.2979267,79.5240221,528.4785925,0.18713385
346.820686,33.75944833,218.2646657,515.149459,486.6214346,77.0465331,521.440855,0.19605279
347.04799,32.31423841,222.3728747,511.8939186,485.9452461,77.89153222,521.6001025,0.20504501
347.275164,33.48323435,219.8732083,511.641304,485.3219553,77.44020204,519.680445,0.20952408
347.502468,32.27089938,204.8430365,514.7820472,484.9075367,75.53657556,513.3539,0.21723898
347.729644,32.6010702,219.2563718,517.9227806,484.4934194,78.48579246,522.27181,0.22518005
347.956946,33.77627787,212.1145679,521.0637884,484.0790008,80.1649029,526.0629625,0.23545468
348.184122,33.24877082,177.2913949,524.2045316,483.6645822,76.2478478,520.6832325,0.2410065
348.411424,32.34255306,215.3190552,527.345265,482.6428946,81.9782018,529.3177925,0.24419737
348.6386,34.43214091,189.6365235,530.4859984,480.8322679,76.21242178,523.6282425,0.24873731
348.865902,31.76123323,139.6301517,536.0903244,477.8415618,75.66447536,511.1929825,0.2509001
314.561244,32.50781928,155.8058112,544.4785266,483.1108158,78.46309566,528.3475475,0.24885268
326.41177,32.71700175,82.3291254,552.8667386,481.9712394,79.58904608,522.3993825,0.25192147
328.007596,33.57670234,108.4476297,561.2552152,489.5906794,82.97057724,531.936495,0.25753295
327.084266,33.58262497,119.6935168,560.940057,488.4371995,83.23496556,536.7556025,0.2642149
326.160808,33.65774589,147.3980041,558.4491224,487.2837196,81.68958298,533.328075,0.27009967
322.161958,33.54333138,180.8854224,555.9581976,485.8198018,77.9622304,519.9303825,0.27675261
311.08098,32.24359609,143.70189,553.4669984,476.6877783,74.90259592,512.9178125,0.27988109
300,32.0443812,106.620258,550.9760638,477.7971258,74.53683836,510.712635,0.28342946
327.860174,33.81889464,101.7510153,548.485139,486.1501876,79.78626324,523.4750675,0.28342662
334.152912,33.31796862,128.8851034,570.5366286,487.8900824,83.24293982,528.81835,0.28338823
334.845378,33.06544712,106.592622,588.8771816,481.7971294,77.53359604,520.643745,0.28115132
347.86231,50,85.9276658,648.1688966,481.0254219,80.64675224,527.87067,0.28221239
350.726174,30.95671791,80.0381353,742.3222496,501.7016238,81.2476069,533.5333175,0.28340843
350.515152,32.60432037,224.1256145,797.588938,525.1971427,96.33184334,572.7873925,0.2853386
340.661124,36.48265175,262.3204089,622.3298344,494.9817529,85.7415929,545.794575,0.28649487
330.4456,35.1330766,248.8344868,596.3109912,493.9334635,77.01754862,512.8371025,0.29006141
320.229948,34.73385253,253.0413965,599.80181,497.5380902,77.08870642,519.8197325,0.2932166
320.10097,34.97185533,267.4475876,603.2929032,498.2281822,76.94209646,525.383445,0.29326265
320.34977,33.90896742,250.7635727,606.783722,492.2842508,73.45428822,514.7207475,0.29561323
320.598568,33.13998984,228.3970131,610.2745408,488.1953798,72.71357188,515.3486275,0.29998999
320.847494,34.40382626,221.0743502,613.7653694,480.5949815,73.9859784,514.1579525,0.30900097
321.096294,34.05617567,217.3504139,617.2564528,478.6583079,74.12031974,514.1579525,0.31687329
321.345094,32.88515701,163.4345428,620.7472814,482.9497031,74.18488312,520.3886,0.32588654
322.02204,34.81641312,211.9523191,628.6481296,493.4682609,82.83592916,537.10187,0.3368248
323.18285,35.37519687,238.4881907,636.6878732,489.3026136,80.31810728,535.209115,0.35037181
324.343532,35.52659413,258.0770236,644.7276266,486.3862642,77.9679046,526.4626025,0.3605767
325.50434,34.50783954,259.4404094,652.7673702,485.5767723,78.46140908,514.91601,0.37391642
326.665148,33.51386082,250.7218345,660.8071138,484.7672804,77.72728618,525.18341,0.38616043
327.82583,32.25934224,238.6690497,668.8468574,484.7829986,81.14317026,525.18341,0.38494393
328.98664,34.59567351,262.6866349,676.8866108,486.822749,78.1303102,532.0684075,0.37502575
330.147448,33.49363607,256.1432386,665.3067642,486.3566425,79.4157517,524.9968225,0.37623976
331.30813,34.87362062,282.6093587,648.9072384,489.2554567,80.488641,532.23373,0.37386699
332.468938,35.46938663,318.2533454,632.5077126,490.9711693,80.27976772,531.1064075,0.36953167
333.629748,35.07182415,324.0178524,616.1081966,488.1146728,80.0710483,526.0273825,0.36717936
334.790428,34.49050432,335.1154018,599.7083964,485.2584776,77.15403616,523.9315525,0.36712708
336.486614,34.18424207,305.9824763,583.3088706,482.4019811,77.04070504,521.8717375,0.36611456
338.488964,33.42718276,312.1318244,568.77403,485.4676511,77.33070468,524.32208,0.36842767
340.491442,34.44600938,305.579025,556.3467284,485.9234835,80.07442244,534.2301925,0.36838279
342.493792,36.13781768,312.062264,543.9194268,485.6351118,78.41509428,527.1915875,0.37156343
344.49627,35.91375538,309.0386308,531.4921252,485.3467424,81.02431782,524.1151,0.37385847
346.498622,33.86295593,319.2040679,519.0648138,485.058373,80.5778945,535.9446075,0.37942336
348.501098,35.5647323,303.4365588,506.6375122,486.8550939,80.36212104,531.287785,0.38285354
350.50345,35.58842429,318.1003135,494.2102106,494.4597242,79.27895742,538.1888375,0.38382118
364.34984,36.53617494,349.6447348,481.7831834,497.3310327,83.487392,543.2257725,0.3837791
362.734172,31.78261389,381.8291157,457.3333496,496.1518572,79.9689127,539.09139,0.3837058
361.118502,33.75778674,420.2741384,356.5774132,494.4167993,82.81844694,536.983845,0.38372682
359.502834,35.20104646,385.6966857,272.2131332,478.9403293,73.01185252,516.7862025,0.38295581
357.887166,32.58178429,296.3411873,291.8836344,477.759645,72.19599076,510.5611975,0.37947563
356.271496,32.97010145,273.6256987,311.5538514,480.5263656,79.67584664,528.0030175,0.37273913
354.655828,35.38039724,308.4217992,331.2243428,475.4928846,78.86397152,525.935825,0.36258985
353.040158,34.57776009,317.6782471,350.894844,470.233907,75.5111181,519.17406,0.3514893
351.42449,34.64016796,314.8587871,370.5653354,464.5943668,76.30811682,515.0340375,0.34148739
349.808822,34.93140583,321.8197369,390.2358268,459.9910249,78.8547703,522.737405,0.33370655
348.193152,35.3914487,322.2510153,392.9574338,457.1345261,77.43007962,519.951645,0.32788996
346.577484,34.82450302,352.4829961,395.1445782,454.1229636,74.97038056,518.9527625,0.32588654
344.961816,33.96465788,354.3054825,397.3317226,447.2752288,75.19980248,510.02357,0.32464617
343.346146,34.5758094,356.2496065,399.5191414,440.4271927,71.79419468,504.510625,0.32704054
341.730478,34.34604105,358.5349567,401.7062858,433.5794602,72.32389056,505.457005,0.3289968
338.067176,33.51617215,360.3388329,403.8937046,423.1283085,70.7979845,500.5025125,0.32900475
334.33328,34.3824456,349.7793427,406.080849,415.3967228,69.35887802,490.8122275,0.33460885
335.66924,34.12472324,342.6003135,409.4755494,410.0869635,67.89753534,487.7314,0.34352778
338.250468,34.62283225,336.6735577,420.5341928,404.7769006,66.72051712,484.52734,0.35697802
340.831824,32.71873537,302.8939867,431.592846,403.0563534,65.97366598,488.2829125,0.37493406
343.41318,32.78114324,303.6405409,442.6514894,412.0998108,69.97322826,494.8637325,0.39635662
345.994536,34.85455129,305.3101816,453.7101328,415.9030333,72.3015005,502.569705,0.41758773
348.575892,35.23188902,306.0798638,464.7687762,419.7065571,69.13681688,499.60083,0.44181601
351.157248,34.39400274,305.5465037,475.8274196,423.5100809,68.28522334,496.33038,0.4698686
353.738604,34.81814674,302.9218089,486.886063,427.3136047,69.82385764,495.428695,0.50232342
356.319958,33.62076363,302.9866702,514.0585916,431.1171285,71.5709056,506.26366,0.53802237
358.901314,33.31796862,223.5924455,550.448912,437.7568973,71.18337146,507.502065,0.56482121
361.48267,34.03573385,253.5275696,586.8392226,455.3586616,80.97969156,530.55099,0.59267402
364.064026,33.63925476,260.4234719,623.229543,471.5645214,83.37237332,537.5869925,0.6217592
366.645382,35.03368549,255.0718144,659.6198634,487.1875957,87.83630174,548.3733575,0.64612675
376.593918,35.22033237,256.5141637,696.0101838,502.8103664,86.31729684,547.7315925,0.66406689
383.648954,35.00826037,291.5180046,715.6804008,512.3973161,89.58871716,550.7082775,0.67624551
383.506238,33.06313579,294.1152496,716.4536698,516.8189902,89.37309658,560.4154875,0.68178423
383.363648,34.64016796,288.7494948,717.2269486,521.2409702,91.25709268,557.9096025,0.68069333
383.22106,34.65403643,291.8799088,718.0002176,525.8657734,96.67168382,570.4103825,0.66956356
383.07847,32.92676242,289.8485501,718.7734866,530.5202029,94.0009643,563.1517825,0.64946542
382.935882,32.90133681,291.8056493,719.54703,535.1746301,89.79973664,557.803725,0.63034802
377.597382,33.69133392,290.9801316,720.320299,529.069586,84.68143282,542.6438875,0.60711065
369.286776,33.59244849,294.370177,631.333457,518.1840632,76.4772707,525.5049425,0.57130885
360.97604,33.1694604,292.2091006,520.2951254,506.175593,73.21075724,514.1579525,0.52539034
353.865546,36.05713526,294.365669,409.2565096,494.4319149,72.80328598,513.0362725,0.47745761
354.373448,35.94445388,293.5632744,370.8474578,489.2297634,73.94549264,518.48977,0.42938568
354.88135,33.5121272,291.3418496,373.9860254,484.0276142,73.8379886,515.4670875,0.3993215
355.389252,34.78867618,291.1656897,377.1248674,480.2186509,77.44434254,524.494345,0.36024286
355.897152,33.79700879,295.1122232,391.6610702,481.7931987,79.76187986,521.60748,0.32564038
356.405054,33.31912453,282.3591304,432.4432802,483.3677488,79.08542016,526.4370025,0.29866838
356.912956,35.12700893,278.9134357,473.2254804,484.9426002,78.6031112,529.24012,0.28310915
357.42073,34.51708535,289.7066118,514.0079648,486.5171503,81.81748278,532.189035,0.26861272
357.928632,33.42313781,294.6298084,554.790165,488.0917004,81.19117066,530.6386425,0.25963356
358.436534,33.51501624,292.2739619,571.7731632,489.6665518,80.78492734,529.513055,0.25838525
358.944434,34.6921746,293.3128599,561.8584542,490.0141669,75.93576484,524.241805,0.25635792
359.452336,33.84150324,296.0212075,551.9437354,485.3419055,73.52130552,514.8973525,0.25167943
359.960238,33.23591371,293.6142246,542.029291,473.806796,71.21787726,506.0861875,0.25182658
360.46814,35.17988238,291.6247903,532.114582,474.2647421,76.407186,518.168235,0.25289649
360.975914,33.58031364,290.4514706,522.199873,476.479511,76.13328972,515.61896,0.25402152
361.483816,32.97010145,291.5134917,536.9545668,478.6942776,79.49810502,523.73759,0.25529881
361.991716,33.86584546,294.6993688,542.171979,480.9090465,80.1638298,525.8082525,0.25638406
362.499618,33.45260837,303.7334155,480.9906868,483.1238131,77.96652378,523.705915,0.25844831
354.090052,34.36337676,303.1675292,472.9763938,485.3385797,80.87188078,526.5129375,0.26401036
355.059682,33.99759568,306.8403291,478.0240406,487.553045,78.1117539,527.98002,0.26863374
355.286602,34.35586457,296.6795911,483.0719618,489.7678139,77.9679046,525.9974425,0.27854414
355.08881,34.09828676,303.7565386,488.1196184,489.3497682,77.6544418,522.0466075,0.28991884
354.89089,34.29345621,304.0718144,493.167275,486.678263,76.10568508,524.41407,0.2988991
354.69297,34.18944293,305.1291364,498.2149218,484.0070591,76.19815984,518.760535,0.30336279
354.495176,33.79065202,307.3970034,503.2625784,482.3935171,77.68373302,519.5042725,0.30450599
354.297256,33.23186876,304.2759876,508.3102252,482.5646049,76.2705446,515.2948225,0.30451111
354.099336,34.68235108,302.2865533,513.3581562,482.7353891,76.0926501,521.7953675,0.30329688
353.901416,33.24573723,303.6730671,518.405803,484.0333573,79.16117906,524.5832975,0.30096558
355.909746,34.33795115,305.1847857,526.3567488,487.2326343,77.18930832,523.0420175,0.29654166
360.41141,34.64016796,306.7615567,537.5886758,490.43161,81.1785953,531.446165,0.29424957
363.09058,33.20355362,302.7661457,548.8208674,493.6305834,83.71712164,534.5890425,0.29193135
356.996144,33.13016632,304.8091615,560.0527944,495.1797415,80.56562588,532.3552275,0.28870855
360.704854,33.31161234,309.4793074,567.2670154,490.3521105,77.08717272,525.9345225,0.28634032
355.662472,33.48670159,323.4797932,548.9808818,485.5244795,76.33219444,522.4271525,0.28441016
356.055514,33.36130765,311.3666551,530.6947482,481.9032284,71.7018728,518.531425,0.28424766
356.448428,33.04926732,277.4154371,512.4086244,482.9451698,72.84269864,517.1094725,0.28327207
